,Client_Id,Recency,Frequency,Monetary,Recency_Level,Frequency_Level,Monetary_Level,New_Recency,New_Frequency,New_Monetary,Customer_Group,Customer_Group_value,Gender,Age,RFM_顧客分群結果
0,1,408,2,600.0,1.0,2.0,5.0,0,0,1,1,1,M,26,流失掉的高消費顧客
1,2,10,3,500.0,5.0,3.0,5.0,1,0,1,101,101,F,32,消費頻率較低的顧客
2,3,70,1,700.0,4.0,1.0,5.0,0,0,1,1,1,M,40,流失掉的高消費顧客
3,4,64,4,724.0,4.0,4.0,5.0,0,1,1,11,11,F,22,近期流失的重要顧客
4,5,60,3,499.0,4.0,3.0,5.0,0,0,1,1,1,M,42,流失掉的高消費顧客
5,6,4,5,440.0,5.0,5.0,5.0,1,1,1,111,111,M,30,最重要的顧客
6,7,50,3,399.0,4.0,3.0,5.0,0,0,1,1,1,F,34,流失掉的高消費顧客
7,8,45,6,150.0,4.0,5.0,4.0,0,1,0,10,10,M,26,普通顧客
8,9,37,5,619.0,5.0,5.0,5.0,1,1,1,111,111,F,38,最重要的顧客
9,10,26,7,343.0,5.0,5.0,5.0,1,1,1,111,111,M,32,最重要的顧客
